DIVISION;BRIGADA;BATALLÓN;COMPAÑÍA
DIV03;VIGESIMA NOVENA BRIGADA ;"Batallón de Montaña No. 4 
General “BENJAMÍN HERRERA CORTES”";CROMO
DIV03;VIGESIMA NOVENA BRIGADA ;"Batallón de Montaña No. 4 
General “BENJAMÍN HERRERA CORTES”";DIAMANTE
DIV03;VIGESIMA NOVENA BRIGADA ;"Batallón de Montaña No. 4 
General “BENJAMÍN HERRERA CORTES”";ESTAÑO
DIV03;VIGESIMA NOVENA BRIGADA ;"Batallón de Montaña No. 8 
Coronel “JOSÉ MARÍA VEZGA”";AGUILA
DIV03;VIGESIMA NOVENA BRIGADA ;"Batallón de Montaña No. 8 
Coronel “JOSÉ MARÍA VEZGA”";AGUILA
DIV03;VIGESIMA NOVENA BRIGADA ;"Batallón de Montaña No. 8 
Coronel “JOSÉ MARÍA VEZGA”";AGUILA
DIV03;VIGESIMA NOVENA BRIGADA ;"Batallón de Montaña No. 8 
Coronel “JOSÉ MARÍA VEZGA”";BUITRE
DIV03;VIGESIMA NOVENA BRIGADA ;"Batallón de Montaña No. 8 
Coronel “JOSÉ MARÍA VEZGA”";FENIX
DIV03;VIGESIMA NOVENA BRIGADA ;"Batallón de Montaña No. 8 
Coronel “JOSÉ MARÍA VEZGA”";DRAGON
DIV03;VIGESIMA NOVENA BRIGADA ;Batallón de Operaciones Terrestres No. 12;APACHE
DIV03;VIGESIMA NOVENA BRIGADA ;Batallón de Operaciones Terrestres No. 12;BATALLADOR
DIV03;VIGESIMA NOVENA BRIGADA ;Batallón de Operaciones Terrestres No. 12;CICLOPE
DIV03;VIGESIMA NOVENA BRIGADA ;Batallón de Operaciones Terrestres No. 13;ARES
DIV03;VIGESIMA NOVENA BRIGADA ;Batallón de Operaciones Terrestres No. 13;BUKON
DIV03;VIGESIMA NOVENA BRIGADA ;Batallón de Operaciones Terrestres No. 13;CALIPSO
DIV03;VIGESIMA NOVA... (truncated)
